[1, 'Banana', 2000]
[2, 'Peach', 1000]
[3, 'Peach', 1000]
[4, 'Peach', 1000]
[5, 'Peach', 1000]
[6, 'Banana', 2000]
[7, 'Apple', 3000]
[8, 'Peach', 1000]
[9, 'Banana', 2000]
[10, 'Banana', 2000]
[11, 'Apple', 3000]
[12, 'Apple', 3000]
[13, 'Banana', 2000]
[14, 'Apple', 3000]
[15, 'Peach', 1000]
[16, 'Apple', 3000]
[17, 'Apple', 3000]
[18, 'Apple', 3000]
[19, 'Peach', 1000]
[20, 'Banana', 2000]
[21, 'Banana', 2000]
[22, 'Peach', 1000]
[23, 'Banana', 2000]
[24, 'Apple', 3000]
[25, 'Apple', 3000]
[26, 'Apple', 3000]
[27, 'Banana', 2000]
[28, 'Apple', 3000]
[29, 'Banana', 2000]
[30, 'Banana', 2000]
[31, 'Apple', 3000]
[32, 'Apple', 3000]
[33, 'Banana', 2000]
[34, 'Banana', 2000]
[35, 'Banana', 2000]
[36, 'Banana', 2000]
[37, 'Banana', 2000]
[38, 'Apple', 3000]
[39, 'Peach', 1000]
[40, 'Peach', 1000]
[41, 'Peach', 1000]
[42, 'Apple', 3000]
[43, 'Apple', 3000]
[44, 'Banana', 2000]
[45, 'Peach', 1000]
[46, 'Apple', 3000]
[47, 'Banana', 2000]
[48, 'Apple', 3000]
[49, 'Banana', 2000]
[50, 'Apple', 3000]
